Device,Day,Hour,Type,Sub-Type,Value
PV,5,18,Generated,Electricity,0.0
PV,5,19,Generated,Electricity,0.0
PV,5,20,Generated,Electricity,0.0
PV,5,21,Generated,Electricity,0.0
PV,5,22,Generated,Electricity,0.0
PV,5,23,Generated,Electricity,0.0
PV,6,0,Generated,Electricity,0.0
PV,6,1,Generated,Electricity,0.0
PV,6,2,Generated,Electricity,0.0
PV,6,3,Generated,Electricity,0.0
PV,6,4,Generated,Electricity,0.0
PV,6,5,Generated,Electricity,0.0
PV,6,6,Generated,Electricity,0.0
PV,6,7,Generated,Electricity,0.02
PV,6,8,Generated,Electricity,0.2
PV,6,9,Generated,Electricity,0.46
PV,6,10,Generated,Electricity,0.69
PV,6,11,Generated,Electricity,0.86
PV,6,12,Generated,Electricity,0.93
PV,6,13,Generated,Electricity,0.9
PV,6,14,Generated,Electricity,0.78
PV,6,15,Generated,Electricity,0.58
PV,6,16,Generated,Electricity,0.33
PV,6,17,Generated,Electricity,0.08
PV,6,18,Generated,Electricity,0.0
PV,6,19,Generated,Electricity,0.0
PV,6,20,Generated,Electricity,0.0
PV,6,21,Generated,Electricity,0.0
PV,6,22,Generated,Electricity,0.0
PV,6,23,Generated,Electricity,0.0
PV,7,0,Generated,Electricity,0.0
PV,7,1,Generated,Electricity,0.0
PV,7,2,Generated,Electricity,0.0
PV,7,3,Generated,Electricity,0.0
PV,7,4,Generated,Electricity,0.0
PV,7,5,Generated,Electricity,0.0
PV,7,6,Generated,Electricity,0.0
PV,7,7,Generated,Electricity,0.02
PV,7,8,Generated,Electricity,0.2
PV,7,9,Generated,Electricity,0.46
PV,7,10,Generated,Electricity,0.69
PV,7,11,Generated,Electricity,0.86
PV,7,12,Generated,Electricity,0.93
PV,7,13,Generated,Electricity,0.9
PV,7,14,Generated,Electricity,0.78
PV,7,15,Generated,Electricity,0.58
PV,7,16,Generated,Electricity,0.33
PV,7,17,Generated,Electricity,0.08
PV,7,18,Generated,Electricity,0.0
PV,7,19,Generated,Electricity,0.0
PV,7,20,Generated,Electricity,0.0
PV,7,21,Generated,Electricity,0.0
PV,7,22,Generated,Electricity,0.0
PV,7,23,Generated,Electricity,0.0
PV,8,0,Generated,Electricity,0.0
PV,8,1,Generated,Electricity,0.0
PV,8,2,Generated,Electricity,0.0
PV,8,3,Generated,Electricity,0.0
PV,8,4,Generated,Electricity,0.0
PV,8,5,Generated,Electricity,0.0
PV,8,6,Generated,Electricity,0.0
PV,8,7,Generated,Electricity,0.01
PV,8,8,Generated,Electricity,0.1
PV,8,9,Generated,Electricity,0.31
PV,8,10,Generated,Electricity,0.49
PV,8,11,Generated,Electricity,0.6
PV,8,12,Generated,Electricity,0.63
PV,8,13,Generated,Electricity,0.57
PV,8,14,Generated,Electricity,0.42
PV,8,15,Generated,Electricity,0.22
PV,8,16,Generated,Electricity,0.04
PV,8,17,Generated,Electricity,0.0
PV,8,18,Generated,Electricity,0.0
PV,8,19,Generated,Electricity,0.0
PV,8,20,Generated,Electricity,0.0
PV,8,21,Generated,Electricity,0.0
PV,8,22,Generated,Electricity,0.0
PV,8,23,Generated,Electricity,0.0
PV,9,0,Generated,Electricity,0.0
PV,9,1,Generated,Electricity,0.0
PV,9,2,Generated,Electricity,0.0
PV,9,3,Generated,Electricity,0.0
PV,9,4,Generated,Electricity,0.0
PV,9,5,Generated,Electricity,0.0
